Reading_Id,Distance,Time
a723b0ac-ddde-421f-b994-f1b4860f2c4c,6.91044,"2023-07-19 21:30:02"
a7fa6740-9c2c-4625-bcbd-608077cd8980,6.93089,"2023-07-20 21:00:02"
aab19228-9208-4703-8f04-6a5189d752b3,6.43174,"2023-07-19 23:00:02"
afb33e34-75a7-4345-8f47-c4b05a474933,27.4249,"2023-07-24 17:30:01"
b6bcb333-22db-464a-aa0b-3434f81959b2,8,"2023-07-14 19:00:00"
b825b572-1eb1-4f78-aaee-9ad8d6fa518b,4.73788,"2023-07-21 01:00:01"
b87fe71f-a1e7-4434-9660-c77b973496cc,7.55279,"2023-07-27 22:30:02"
b8b4bd8b-2cc2-4fc9-90f4-128c3461003b,34.8345,"2023-07-24 20:00:02"
b924005a-cd66-4648-bb73-13abd5d2ebca,34.7813,"2023-07-24 21:00:02"
c97f09bd-88c0-49ea-bb8c-4a5ebd89b5b9,35.2805,"2023-07-24 18:27:10"
cafcfec5-1728-4b98-9a13-4ab72edbf720,24.9619,"2023-07-21 23:30:02"
d2095753-7deb-40ba-924a-b267a53f6277,14.3937,"2023-07-28 23:00:02"
d533e754-6683-4725-a8ec-0db7cb59ef08,20.8541,"2023-07-24 22:00:02"
d8fe093e-cce8-4f80-a0ae-5b0f8f9a5f01,24.9087,"2023-07-21 22:30:02"
dbc2d300-6a06-4d8a-911a-2668b3bfc661,25.0028,"2023-07-24 18:00:02"
dc1cb97f-3972-4f51-b19b-5bbffbcc4838,1199.99,"2023-07-26 23:33:41"
dcab30e8-3de4-4d3a-9d16-bf2f7f06d391,35.26,"2023-07-24 18:30:02"
e23c2d4b-1161-483a-a3c7-fdbe616ef8b2,5.83439,"2023-07-21 00:30:02"
e78c99a3-6c44-48ca-866d-47c8d61c0f80,24.9782,"2023-07-21 22:00:01"
ea18a473-4268-49a3-8494-d568159a7cba,7.5,"2023-07-10 14:00:00"
ed949dca-084b-48ec-b200-2541c95e9157,9.11572,"2023-07-24 18:02:27"
efb49e3e-eccd-4321-b483-ca2046a36e1e,21.1896,"2023-07-26 02:30:02"
f30d4ebe-1bd2-4290-aed5-3bf6090179ec,11.7629,"2023-07-21 00:00:02"
f714619e-ef23-4cb3-9458-421eb16248c0,21.6192,"2023-07-26 01:00:02"
f901b50d-a9d6-4844-865a-aa5e99a6e141,4.18963,"2023-07-19 19:14:11"
fa3dab01-db2e-47f2-9cdd-ff5fade261d9,21.2305,"2023-07-26 00:30:02"
fc6e23b3-b939-4b6a-a512-85dbd13af4e4,11.8243,"2023-07-20 23:30:02"
